date,symbol,open,high,low,close,volume,dollar_volume
2020-01-02,EXPD,72.931,73.033,72.0034,72.6805,1062400,83239038
2020-01-02,EXPE,107.1381,109.3818,107.0495,109.2145,3481200,386343588
2020-01-02,EXR,82.5424,82.5814,81.2561,81.6459,950900,99587760
2020-01-02,F,6.6988,6.7925,6.6267,6.7925,43425700,409070097
2020-01-02,FANG,71.7211,71.9593,70.2921,71.1833,1822000,168808303
2020-01-02,FAST,15.6388,15.7442,15.4574,15.702,8380600,156004867
2020-01-02,FCX,12.3601,12.4527,12.1564,12.2212,22771700,300586436
2020-01-02,FDS,251.2478,252.6693,249.3214,251.3133,314500,84515588
2020-01-02,FDX,109.0629,110.9805,108.4761,110.9805,3757252,469580823
2020-01-02,FE,36.6912,36.6912,35.6636,35.913,4639300,220505923
2020-01-02,FERG,80.1716,80.1716,79.1856,79.1856,300,27465
2020-01-02,FFIV,140.42,141.31,139.74,140.76,592200,83358069
2020-01-02,FICO,377,383.17,375.25,382.92,145800,55829738
2020-01-02,FIS,121.506,122.3486,120.9239,121.532,3002300,420021752
2020-01-02,FISV,116,116.34,115.02,115.52,5197700,600438287
2020-01-02,FITB,23.9946,24.0488,23.6922,24.0488,4618500,143265872
2020-01-02,FIX,48.4467,48.6108,47.2109,47.5199,170900,8411698
2020-01-02,FLEX,9.6232,9.6383,9.5026,9.6307,5941643,57222454
2020-01-02,FOX,33.3157,33.5439,32.8274,33.2792,1153800,42067547
2020-01-02,FOXA,34.3483,34.4034,33.5817,34.0362,4500700,166840948
2020-01-02,FRT,98.296,98.5389,94.6683,95.0782,417000,52241759
2020-01-02,FSLR,56.4,57.26,55.96,57.24,1053800,60319514
2020-01-02,FTNT,21.52,22.058,21.476,21.936,5541000,121547381
2020-01-02,FTV,47.2514,47.5951,46.9569,47.589,2573062,125832610
2020-01-02,GD,152.1484,153.5116,151.6939,152.9886,1472100,262666792
2020-01-02,GDDY,68.79,68.98,67.22,68.56,1630400,111780220
2020-01-02,GE,54.2915,57.8206,54.2915,57.6756,17540015,1042942056
2020-01-02,GEN,12.8218,13.0321,12.7768,13.0271,5273300,137211268
2020-01-02,GILD,51.342,51.5065,50.9581,51.1069,5038200,328641803
2020-01-02,GIS,41.5666,41.6984,40.3343,40.404,4422100,230524078
2020-01-02,GL,99.6043,100.1054,98.6681,99.8217,837100,88364274
2020-01-02,GLW,24.6879,25.2605,24.6711,25.2521,5627500,168768724
2020-01-02,GM,35.1091,35.4697,34.6821,35.4697,7454400,278645480
2020-01-02,GNRC,101.38,102.02,100.07,102.01,392400,40028725
2020-01-02,GOOG,66.4913,67.8091,66.4913,67.771,28132000,1923342635
2020-01-02,GOOGL,66.8279,67.8325,66.7328,67.8325,27278000,1866742600
2020-01-02,GPC,88.0548,88.253,86.5762,87.4022,815100,86245729
2020-01-02,GPN,174.1129,176.6874,173.7911,175.7409,1816400,337250985
2020-01-02,GRMN,84.6641,85.4013,84.456,85.2886,828000,81425517
2020-01-02,GS,198.3808,201.5068,197.6594,201.232,3736300,875489843
2020-01-02,GWW,313.8896,318.472,311.5429,318.472,376700,129852254
2020-01-02,HAL,21.9236,22.0568,21.6838,21.9147,9125500,225217343
2020-01-02,HAS,82.2202,82.2279,80.772,81.5697,1043200,109880258
2020-01-02,HBAN,11.1907,11.2203,10.9909,11.0945,9975100,149526747
2020-01-02,HCA,140.6071,141.0721,138.6236,139.9712,780100,115056953
2020-01-02,HD,186.828,187.4079,185.7706,187.3226,3935700,864515876
